"source","scraped_at_utc","catalog_title","catalog_url","product_url","catalog_image","catalog_popularity","product_name","display_name","brand","description","breadcrumb","product_id","sku_id","selection_id","mag_code","key","gtin14","image_large","image_small","price","currency","availability","num_issues","magazine_sku_type","recurring","auto_renew","ship_to_po_box","cds_magazine","subco_magazine","taxable_sku","tax_code","tax_status","shipping_and_handling","rating_value","review_count","scrape_error"
"magazines.com","2026-06-13T14:59:17.1465816Z","Entertainment Weekly: The Ultimate Guide to Stranger Things","/entertainment-weekly-the-ultimate-guide-to-stranger-things","https://www.magazines.com/entertainment-weekly-the-ultimate-guide-to-stranger-things","https://cdn.magazines.com/crt/store/covers/sips/BZEWKSTTHI_s.jpg","0","Entertainment Weekly: The Ultimate Guide to Stranger Things",,"People Inc.","There's no escaping the Upside Down! For four seasons, Netflix's Stranger Things has followed the scrappy heroes of Hawkins, Indiana, as they've battled all manner of creepy creatures to save not just their hometown, but the world. Ahead of the highly anticipated Volume 2, The Ultimate Guide to Stranger Things presented by the editors of Entertainment Weekly, takes you inside the hit series with exclusive cast interviews, including Winona Ryder, David Harbour and Matthew Modine; season guides and plenty of set secrets (like how they make season 4 baddie Vecna look so real!). Plus, you can test your knowledge of all things '80s and pay your respects to the dearly departed Barb (RIP). It's the perfect binge companion for any Stranger Things fan! (Eggo waffles not included.) 
","Home > magazines > Entertainment & TV Magazines > TV & Movie Entertainment Magazines > Entertainment Weekly: The Ultimate Guide to Stranger Things","prod8950002",,"124400099",,,,"https://cdn.magazines.com/crt/store/covers/sips/BZEWKSTTHI_l.jpg","https://cdn.magazines.com/crt/store/covers/sips/BZEWKSTTHI_s.jpg","14.99","USD","http://schema.org/InStock",,,"False","False","True",,,,,,,,,""
"magazines.com","2026-06-13T14:59:04.8563934Z","Forks Over Knives Summer 2022","/forks-over-knives-summer-2022","https://www.magazines.com/forks-over-knives-summer-2022","https://cdn.magazines.com/crt/store/covers/sips/BZFOKSU22_s.jpg","-1","Forks Over Knives Summer 2022",,"People Inc.","Forks Over Knives, a feature film released in 2011, helped launch the concept of a whole-food, plant-based lifestyle as a path to good health and wellness. This issue of Forks Over Knives magazine offers delicious dinners that can be made in less than 30 minutes, grab-and-go lunch recipes, farmers market salads, and refreshing desserts, PLUS health and nutrition information, expert tips, convenient cooking products, and real-life success stories for healthful, happy living.
","Home > magazines > Cooking, Food & Beverage Magazines > Cooking & Food Magazines > Forks Over Knives Summer 2022","prod8950002",,"124400091",,,,"https://cdn.magazines.com/crt/store/covers/sips/BZFOKSU22_l.jpg","https://cdn.magazines.com/crt/store/covers/sips/BZFOKSU22_s.jpg","12.99","USD","http://schema.org/OutOfStock",,,"False","False","True",,,,,,,,,""
"magazines.com","2026-06-13T14:58:56.7527400Z","Health Living Longer","/health-living-longer","https://www.magazines.com/health-living-longer","https://cdn.magazines.com/crt/store/covers/sips/BZHTHLIVLON_s.jpg","-1","Health Living Longer",,"People Inc.","It's the age-old question: how can I live longer? The race to make it past 100, or even longer, involves a lifetime of healthy habits. This special edition of Health explores emerging technology and lifestyle habits that can help us live longer and healthier. Topics include the science of longevity, ageism in the workplace, exercise at every stage, and the menopause revolution. 
","Home > magazines > Health & Fitness Magazines > Healthy Living Magazines > Health Living Longer","prod8950002",,"124400093",,,,"https://cdn.magazines.com/crt/store/covers/sips/BZHTHLIVLON_l.jpg","https://cdn.magazines.com/crt/store/covers/sips/BZHTHLIVLON_s.jpg","12.99","USD","http://schema.org/OutOfStock",,,"False","False","True",,,,,,,,,""
"magazines.com","2026-06-13T14:59:15.6726979Z","Highlights Hidden Pictures: Rip-Roaring Dinosaurs Edition","/highlights-hidden-pictures-rip-roaring-dinosaurs-edition","https://www.magazines.com/highlights-hidden-pictures-rip-roaring-dinosaurs-edition","https://cdn.magazines.com/crt/store/covers/sips/BZTOPHIDINOS_s.jpg","-1","Highlights Hidden Pictures: Rip-Roaring Dinosaurs Edition",,"People Inc.","Get ready for rip-roaring, prehistoric puzzles! Find hundreds of hidden objects in this expanded issue filled with action-packed and super silly scenes featuring dinos dancing to jazz music, velociraptors racing, a skateboarding T-rex and so much more. With everyone's favorite puzzle—Hidden Pictures—as well as games, trivia and crafts, this issue is dino-mite!","Home > magazines > Magazines for Kids & Children > Highlights Hidden Pictures: Rip-Roaring Dinosaurs Edition","prod8950002",,"136500091",,,"9781547870424","https://cdn.magazines.com/crt/store/covers/sips/BZTOPHIDINOS_l.jpg","https://cdn.magazines.com/crt/store/covers/sips/BZTOPHIDINOS_s.jpg","14.99","USD","http://schema.org/OutOfStock",,,"False","False","True",,,,,,,,,""
"magazines.com","2026-06-13T14:59:06.1399468Z","Hot Rod","/hot-rod-magazine.html","https://www.magazines.com/hot-rod-magazine.html","https://cdn.magazines.com/crt/store/covers/magazines/nmo/0670_s.jpg","36","Hot Rod","Hot Rod (Print)","Motor Trend Group, LLC","Hot Rod magazine takes the world of high-performance vehicles to a whole new level! Action packed with all of the new auto technology, the best how-to guides and everything you need to know about transforming your car into the vehicle it is meant to be. This magazine brings you the knowledge you need and the information you want with every issue. Devoted to all things hot rodding, drag racing and muscles cars, Hot Rod shows you exactly how to boost your vehicles performance and appearance with money-saving tips on maintenance, restoration, rebuilding, paint and graphics and bolt-on parts. Technical information, industry commentary, and a first look at rising trends will be right at your fingertips. You'll even find details on hot rod events across the country so you can see some of the rarest cars in existence up close. If you have the need for speed, then a subscription to Hot Rod is perfect for you!","Home > magazines > Auto & Cycles Magazines > Car & Automotive Magazines > Hot Rod","prod9180012","sku9140011","116900067","0670","I0670CS",,"https://cdn.magazines.com/crt/store/covers/magazines/nmo/0670_l.jpg","https://cdn.magazines.com/crt/store/covers/magazines/nmo/0670_s.jpg","30.0","USD","http://schema.org/InStock","4","Print","True","False","True","False","True","True","PM039394","0","0.0","4.6","36",""
"magazines.com","2026-06-13T14:59:10.1820924Z","Hungry Girl Healthy & Easy Copycat Recipes","/hungry-girl-healthy-easy-copycat-recipes","https://www.magazines.com/hungry-girl-healthy-easy-copycat-recipes","https://cdn.magazines.com/crt/store/covers/sips/BZHGLOWCALRE_s.jpg","0","Hungry Girl Healthy & Easy Copycat Recipes - Combo Offer","Allrecipes Magazine (Print)",,"","Home > magazines > Cooking, Food & Beverage Magazines > Cooking & Food Magazines > Hungry Girl Healthy & Easy Copycat Recipes","136500093","sku640006","136500093","ALR","IMALRCS","false","https://cdn.magazines.com/crt/store/covers/sips/BZHGLOWCALRE_l.jpg","https://cdn.magazines.com/crt/store/covers/sips/BZHGLOWCALRE_s.jpg","2.0","USD","http://schema.org/InStock","5","Print","True","False","True","True","False","True","PM039394","55101506.100","0.0",,,""
"magazines.com","2026-06-13T14:59:29.6120708Z","LIFE: The Most Haunted Places","/life-the-most-haunted-places","https://www.magazines.com/life-the-most-haunted-places","https://cdn.magazines.com/crt/store/covers/sips/BZLIFHAUNT_s.jpg","-1","LIFE: The Most Haunted Places",,"People Inc.","You might want to keep the lights on as you read The World's Most Haunted Places. This spine-chilling Special Edition from LIFE is filled with striking photos and eerie stories about some of the world's creepiest places. There's the hotel that inspired The Shining . . . the Amityville Horror house . . . and the dilapidated farm that was home to the serial killer who inspired The Texas Chainsaw Massacre, The Silence of the Lambs, and Psycho. Not every spot is horrifying, though. Some, like Angkor Wat or the ancient ruins under Lake Titicaca- are mysterious, even spiritual. Others, filled with mummies, abandoned dolls, rusting prison bars, or headstones, are unnerving. But they all have one thing in common - they exist partly in our world, and partly in a shadowy realm of fear and horror. With dozens of unforgettable photographs The World's Most Haunted Places takes readers on a round-the-world tour of places that you'll never be able to forget.
","Home > magazines > Ethnic & Culture Magazines > Culture & Heritage Magazines > LIFE: The Most Haunted Places","prod8950002",,"111900006",,,,"https://cdn.magazines.com/crt/store/covers/sips/BZLIFHAUNT_l.jpg","https://cdn.magazines.com/crt/store/covers/sips/BZLIFHAUNT_s.jpg","14.99","USD","http://schema.org/OutOfStock",,,"False","False","True",,,,,,,,,""
"magazines.com","2026-06-13T14:58:57.8139080Z","Norwalk Plus","/norwalk-plus-magazine.html","https://www.magazines.com/norwalk-plus-magazine.html","https://cdn.magazines.com/crt/store/covers/magazines/nmo/12E7_s.jpg","0","Norwalk Plus (print)","Norwalk Plus (print)","Canaiden, LLC","Norwalk Plus magazine is The Magazine for Norwalk. Published since 2006, Norwalk Plus magazine is dedicated to serving the community of Norwalk, CT with relevant editorials and a unique perspective on a myriad of topics concerning the broad-minded residents of Norwalk and southern Fairfield County.","Home > magazines > Local & Regional Magazines > Northeast Region Magazines > Norwalk Plus","prod9620136","sku9940136","112100076","12E7","I12E7CS","9771948081000","https://cdn.magazines.com/crt/store/covers/magazines/nmo/12E7_l.jpg","https://cdn.magazines.com/crt/store/covers/magazines/nmo/12E7_s.jpg","14.95","USD","http://schema.org/InStock","4","Print","True","False","True","False","True","True","PM039394","0","0.0",,,""
"magazines.com","2026-06-13T14:59:22.6934164Z","Pasadena Magazine","/pasadena-magazine.html","https://www.magazines.com/pasadena-magazine.html","https://cdn.magazines.com/crt/store/covers/magazines/nmo/12Y5_s.jpg","0","Pasadena Magazine","Pasadena Magazine (Print)","Hour Media","Pasadena Magazine is a lifestyle magazine with a focus on Pasadena, a city located inside of Los Angeles Country, California. Just 10 miles from Downtown L.A., Pasadena is known for hosting major events like the Rose Bowl football game, parades, museums, and schools.","Home > magazines > Local & Regional Magazines > West Region Magazines > Pasadena Magazine","prod9620170","sku9940170","112100873","12Y5","I12Y5CS",,"https://cdn.magazines.com/crt/store/covers/magazines/nmo/12Y5_l.jpg","https://cdn.magazines.com/crt/store/covers/magazines/nmo/12Y5_s.jpg","14.95","USD","http://schema.org/InStock","6","Print","True","False","True","False","True","True","PM039394","0","0.0",,,""
"magazines.com","2026-06-13T14:59:22.6934164Z","Pasadena Magazine","/pasadena-magazine.html","https://www.magazines.com/pasadena-magazine.html","https://cdn.magazines.com/crt/store/covers/magazines/nmo/12Y5_s.jpg","0","Pasadena Magazine","Pasadena Magazine (Print)","Hour Media","Pasadena Magazine is a lifestyle magazine with a focus on Pasadena, a city located inside of Los Angeles Country, California. Just 10 miles from Downtown L.A., Pasadena is known for hosting major events like the Rose Bowl football game, parades, museums, and schools.","Home > magazines > Local & Regional Magazines > West Region Magazines > Pasadena Magazine","prod9620170","sku9940170","112100071","12Y5","I12Y5CS",,"https://cdn.magazines.com/crt/store/covers/magazines/nmo/12Y5_l.jpg","https://cdn.magazines.com/crt/store/covers/magazines/nmo/12Y5_s.jpg","27.95","USD","http://schema.org/InStock","12","Print","True","False","True","False","True","True","PM039394","0","0.0",,,""
